info.ordinal,info.onset,info.offset,info.idA,info.idB,info.dyad,info.coder,talktime_a.ordinal,talktime_a.onset,talktime_a.offset,talktime_a.t,talktime_b.ordinal,talktime_b.onset,talktime_b.offset,talktime_b.t,task_start.ordinal,task_start.onset,task_start.offset,task_start.s,
,,,,,,,37,312795,318645,"And then the uh what do you call it the expansion packs came out",37,432816,435173,"Are we done have we 'xxx'",,,,,
,,,,,,,38,319477,324035,"And suddenly you can be like it like what was it like a vampire 'xxx' some stuff",38,438955,442462,"Wait is it already have we crossed it",,,,,
,,,,,,,39,324188,324714,"Yeah",39,444909,447325,"Checking your statistic uh",,,,,
,,,,,,,40,325496,326799,"It was pretty cool",40,447891,450188,"I think you just flat lined for a second",,,,,
,,,,,,,41,330698,331474,"Yeah",41,450943,452804,"That's not good",,,,,
,,,,,,,42,332303,333263,"That was pretty cool yeah",42,456136,458692,"That means your heart has stopped 'xxx'",,,,,
,,,,,,,43,336579,338257,"Yeah",43,459043,463381,"You should yeah you should see a doctor",,,,,
,,,,,,,44,341480,343123,"Denmark is cold",44,464938,468100,"Let's see am I technically alive",,,,,
,,,,,,,45,343778,344677,"'xxx' it's summer",45,468945,469861,"Can't tell",,,,,
,,,,,,,46,344910,347859,"Then it's less cold",,,,,,,,,
,,,,,,,47,350250,361329,"And then it's nice I guess like quiet small and flat and not that exciting pretty pleasant I guess",,,,,,,,,
,,,,,,,48,362660,365078,"I think pleasant is my best description",,,,,,,,,
,,,,,,,49,368139,368945,"I suppose",,,,,,,,,
,,,,,,,50,369132,370491,"How about Texas",,,,,,,,,
,,,,,,,51,378071,380766,"Hot pleasant not every part perhaps",,,,,,,,,
,,,,,,,52,390605,391661,"Is it a city",,,,,,,,,
,,,,,,,53,392801,393919,"Fort",,,,,,,,,
,,,,,,,54,397038,397873,"Oh okay",,,,,,,,,
,,,,,,,55,407245,409573,"Yeah just desert",,,,,,,,,
,,,,,,,56,411527,412462,"'xxx'",,,,,,,,,
,,,,,,,57,419628,420280,"Oh",,,,,,,,,
,,,,,,,58,421551,424216,"You saw all the nothing",,,,,,,,,
,,,,,,,59,429648,432224,"So five minutes",,,,,,,,,
,,,,,,,60,433810,435207,"Getting there I don't know",,,,,,,,,
,,,,,,,61,435766,439296,"They have like an alarm clock going off in one of the 'xxx' I don't know",,,,,,,,,
,,,,,,,62,454117,455140,"Shit",,,,,,,,,
,,,,,,,63,458352,459777,"My heart is 'xxx'",,,,,,,,,
,,,,,,,64,470278,471699,"So",,,,,,,,,
